source_ip_token,destination_ip_token,protocol_token,packet_size_token,flow_direction_token,session_duration_token
192.168.1.2,224.0.0.251,1,0.05019815059445178,2,0.0
192.168.1.2,224.0.0.251,1,0.04953764861294584,2,0.4117119312286377
192.168.1.239,34.117.59.81,0,0.05151915455746367,2,0.0
34.117.59.81,192.168.1.239,0,0.0488771466314399,0,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,0.4408938884735107
192.168.1.239,34.117.59.81,0,0.38507265521796563,2,0.6254317760467529
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,0.5140149593353271
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,0.7329130172729492
34.117.59.81,192.168.1.239,0,0.4715984147952444,0,0.9662339687347412
34.117.59.81,192.168.1.239,0,0.8388375165125496,0,1.1934080123901367
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,1.711426019668579
192.168.1.239,34.117.59.81,0,0.0964332892998679,2,1.8811359405517576
192.168.1.239,34.117.59.81,0,0.16116248348745046,2,2.033695936203003
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,1.964972972869873
34.117.59.81,192.168.1.239,0,0.917437252311757,0,2.2373180389404297
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,2.693732738494873
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,2.946282863616944
192.168.1.239,192.168.1.197,0,0.11624834874504623,1,0.0
192.168.1.239,34.117.59.81,0,0.05151915455746367,2,0.0
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,3.348531007766724
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,4.0949578285217285
34.117.59.81,192.168.1.239,0,0.0488771466314399,0,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.557816743850708
192.168.1.239,34.117.59.81,0,0.38507265521796563,2,3.757665872573853
192.168.1.197,192.168.1.239,0,0.11624834874504623,1,0.0
192.168.1.239,192.168.1.197,0,0.043593130779392336,1,4.529479265213013
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,4.544435024261475
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,4.883615016937256
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,5.137382984161377
34.117.59.81,192.168.1.239,0,0.4715984147952444,0,5.356492042541504
34.117.59.81,192.168.1.239,0,0.8388375165125496,0,5.538290023803711
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,10.464203834533691
192.168.1.239,34.117.59.81,0,0.0964332892998679,2,10.66084885597229
192.168.1.239,34.117.59.81,0,0.16116248348745046,2,11.170537948608398
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,9.076463222503662
34.117.59.81,192.168.1.239,0,0.9346103038309115,0,9.23163104057312
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,12.365386962890623
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,12.7536940574646
192.168.1.239,34.117.59.81,0,0.05151915455746367,2,0.0
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,10.82083296775818
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,13.987294912338257
34.117.59.81,192.168.1.239,0,0.0488771466314399,0,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,1.2879769802093506
192.168.1.239,34.117.59.81,0,0.38507265521796563,2,1.52128005027771
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,0.6238880157470703
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,0.793658971786499
34.117.59.81,192.168.1.239,0,0.4715984147952444,0,1.004810094833374
34.117.59.81,192.168.1.239,0,0.8388375165125496,0,1.2333238124847412
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,2.5636649131774902
192.168.1.239,34.117.59.81,0,0.0964332892998679,2,2.751138210296631
192.168.1.239,34.117.59.81,0,0.1618229854689564,2,2.972830057144165
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,2.06201696395874
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,2.231329917907715
34.117.59.81,192.168.1.239,0,0.18494055482166447,0,2.468600988388061
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.786896944046021
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.961148977279663
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,3.0219240188598637
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,4.379678010940552
192.168.1.239,34.117.59.81,0,0.05151915455746367,2,0.0
34.117.59.81,192.168.1.239,0,0.0488771466314399,0,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,0.4138541221618652
192.168.1.239,34.117.59.81,0,0.38507265521796563,2,0.5798931121826172
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,0.6210711002349854
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,0.816364049911499
34.117.59.81,192.168.1.239,0,0.4715984147952444,0,1.0149621963500977
34.117.59.81,192.168.1.239,0,0.8388375165125496,0,1.2660720348358154
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,1.628612995147705
192.168.1.239,34.117.59.81,0,0.0964332892998679,2,1.874748945236206
192.168.1.239,34.117.59.81,0,0.16248348745046234,2,2.126259088516236
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,2.1519641876220703
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,2.419686079025269
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,2.830808162689209
34.117.59.81,192.168.1.239,0,0.071334214002642,0,2.805000066757202
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.2635300159454346
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.4870359897613525
192.168.1.239,17.33.202.253,0,0.05151915455746367,2,0.0
192.168.1.239,34.117.59.81,0,0.05151915455746367,2,0.0
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,3.983433961868286
34.117.59.81,192.168.1.239,0,0.0488771466314399,0,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,4.575918197631836
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,0.8521018028259277
192.168.1.239,34.117.59.81,0,0.38507265521796563,2,1.078168869018555
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,0.7782669067382812
17.33.202.253,192.168.1.239,0,0.0488771466314399,0,0.0
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,1.2090880870819092
34.117.59.81,192.168.1.239,0,0.4715984147952444,0,1.4374918937683103
34.117.59.81,192.168.1.239,0,0.8388375165125496,0,1.596707105636597
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,2.201007843017578
192.168.1.239,34.117.59.81,0,0.0964332892998679,2,2.3733010292053223
192.168.1.239,34.117.59.81,0,0.1618229854689564,2,2.5148019790649414
192.168.1.239,17.33.202.253,0,0.043593130779392336,2,3.0073537826538086
192.168.1.239,17.33.202.253,0,0.38507265521796563,2,3.259575843811035
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,2.6448919773101807
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,2.8545589447021484
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,3.0421597957611084
34.117.59.81,192.168.1.239,0,0.08718626155878467,0,3.2596428394317627
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.8571698665618896
192.168.1.239,18.188.243.248,0,0.05151915455746367,2,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,4.357574939727783
192.168.1.239,34.117.59.81,0,0.05151915455746367,2,0.0
17.33.202.253,192.168.1.239,0,0.043593130779392336,0,3.23131799697876
17.33.202.253,192.168.1.239,0,1.0,0,3.49772310256958
17.33.202.253,192.168.1.239,0,0.9075297225891678,0,3.735890865325928
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,4.950464010238648
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,5.638243913650513
192.168.1.239,17.33.202.253,0,0.043593130779392336,2,6.136970043182373
34.117.59.81,192.168.1.239,0,0.0488771466314399,0,0.0
18.188.243.248,192.168.1.239,0,0.0488771466314399,0,0.0
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,1.9577538967132568
192.168.1.239,18.188.243.248,0,0.38507265521796563,2,2.6328530311584477
192.168.1.239,34.117.59.81,0,0.38507265521796563,2,2.368797063827514
34.117.59.81,192.168.1.239,0,0.043593130779392336,0,1.0623767375946045
34.117.59.81,192.168.1.239,0,0.9682959048877147,0,1.191025972366333
34.117.59.81,192.168.1.239,0,0.4715984147952444,0,1.345268964767456
34.117.59.81,192.168.1.239,0,0.8388375165125496,0,1.5622780323028564
192.168.1.239,34.117.59.81,0,0.043593130779392336,2,3.173560857772827
192.168.1.239,34.117.59.81,0,0.0964332892998679,2,3.3116679191589355
192.168.1.239,34.117.59.81,0,0.1618229854689564,2,3.5066308975219727
18.188.243.248,192.168.1.239,0,0.043593130779392336,0,1.991452932357788
18.188.243.248,192.168.1.239,0,1.0,0,2.167273998260498
18.188.243.248,192.168.1.239,0,1.0,0,2.378480911254883
18.188.243.248,192.168.1.239,0,0.5515191545574637,0,2.5091960430145264
